cod_coord,iso3_coord,estatus_geo,lon,lat
158,TWN,CN Province,120.97112934704248,23.757326311691926
834,TZA,Member State,34.810819401755225,-6.286272441832092
800,UGA,Member State,32.39116431367898,1.2807427944639902
804,UKR,Member State,31.372598393263807,49.72429679082726
858,URY,Member State,-56.00902994677316,-32.82347222903152
840,USA,Member State,-99.6448273662985,40.0096794120846
860,UZB,Member State,63.07512118286002,41.840503956108996
670,VCT,Member State,-61.19024070411568,13.246304163567702
862,VEN,Member State,-66.16578425316567,7.141975810226775
704,VNM,Member State,105.80249899698315,10.09765744388716
548,VUT,Member State,167.0679779045825,-15.344614210655006
882,WSM,Member State,-172.44306297222056,-13.615464918907012
887,YEM,Member State,45.22350345052235,15.234041598259363
710,ZAF,Member State,24.67184354714956,-30.087839540718228
894,ZMB,Member State,27.852456687552042,-14.609517500721955
716,ZWE,Member State,29.869060631751587,-19.023587044669526
2003,ZZZ,Desconocido,-20.0,-25.0
