iso3_econ,año,pct_desempleo,pbi_pc_ppa,inflacion,gini,hdi
AZE,2005,7.26,6854.93618778844,9.67950731917057,26.6,0.692
AZE,2010,5.63,14930.4099928423,5.72687224669605,,0.744
AZE,2015,4.96,15075.2726347911,4.02768573742726,,0.771
AZE,2020,7.24,15163.5703327282,2.75980947008127,,0.757
AZE,2024,5.648,25088.9993757134,2.21217188919901,,
BDI,1990,,598.305045994166,7.00216956651122,,0.294
BDI,1995,3.095,547.689757596573,19.2632536382538,,0.294
BDI,2000,3.137,519.237306665577,24.4320242102151,,0.308
BDI,2005,3.162,553.047973759863,13.2520699188224,,0.352
BDI,2010,1.615,613.695880049889,6.49326591473993,,0.416
BDI,2015,1.449,722.032898379933,5.54468891259779,,0.432
BDI,2020,1.03,958.135599490084,7.32110643415521,37.5,0.435
BDI,2024,0.915,1194.94681370387,20.2124925027847,,
BEL,1990,,18687.7257960975,3.44831217961808,,0.824
BEL,1995,9.337,22446.2748072391,1.46796699090272,28.4,0.875
BEL,2000,6.586,27794.0511630862,2.54451776190908,33.1,0.894
BEL,2005,8.44,33177.8909458158,2.78143263670022,29.3,0.911
BEL,2010,8.293,39839.9772772918,2.18929920422457,28.4,0.921
BEL,2015,8.482,46071.914889496,0.561429152790065,27.7,0.933
BEL,2020,5.545,56120.0958420466,0.740791812220344,26.0,0.939
BEL,2024,5.7,73514.4831045258,3.14349136500041,,
BEN,1990,,1186.11606902616,,,0.351
BEN,1995,1.305,1395.26644444059,14.4625482180894,,0.383
BEN,2000,0.864,1671.35725172854,4.16540442290283,,0.415
BEN,2005,0.859,1945.56414052296,5.36452085832342,,0.456
BEN,2010,1.04,2220.32854611489,2.20783532536524,,0.485
BEN,2015,1.886,2725.33724817144,0.218785923536245,47.6,0.511
BEN,2020,1.518,3244.58772756805,3.02272119663759,,0.504
BEN,2024,1.637,4434.5642184028,1.16093089640415,,
BFA,1990,,566.944147291823,-0.504303388918912,,
BFA,1995,2.532,683.639151581195,7.45884497828324,,
BFA,2000,2.687,896.477481510815,-0.304212168486803,,
BFA,2005,4.0,1171.76432319587,6.41504018369684,,0.333
BFA,2010,3.725,1449.42216382921,-0.764230734676768,,0.377
BFA,2015,4.472,1691.57935387408,0.724838981070517,,0.419
BFA,2020,4.59,2380.72282781802,1.88470066518847,,0.453
BFA,2024,3.441,2895.89152033665,4.19081721344523,,
BGD,1990,,940.65447083893,6.12671846981458,,0.397
BGD,1995,2.441,1206.36646705186,10.2978117947206,32.9,0.434
BGD,2000,3.27,1511.90500588844,2.20825620937535,33.4,0.477
BGD,2005,4.25,2019.73839563431,7.04661816222039,33.2,0.52
BGD,2010,3.379,2833.69544368864,8.12667639169917,32.1,0.561
BGD,2015,4.397,4212.23578089428,6.19428022984984,,0.621
BGD,2020,5.539,6640.58437331062,5.69107474746211,,0.663
BGD,2024,3.635,9646.76984383255,10.4657482763412,,
BGR,1990,,7547.98203130235,23.8000000000003,,0.706
BGR,1995,11.1,7742.85741674653,62.0548336837992,32.8,0.709
BGR,2000,16.218,6424.14537295881,10.316262128999,,0.733
BGR,2005,10.083,10291.428291498,5.03883807111902,,0.775
BGR,2010,10.279,14954.2543206827,2.43899060504113,35.7,0.799
BGR,2015,9.143,18896.102861651,-0.104633261008385,38.6,0.824
BGR,2020,5.037,27351.8607448601,1.67244096855756,40.5,0.826
BGR,2024,4.2,41969.4515718999,2.44651943006079,,
BHR,1990,,26902.061145816,0.929335437489093,,0.734
BHR,1995,1.044,38839.4365183712,2.70403475064704,,0.737
BHR,2000,1.081,45687.5217405647,-0.70485295309079,,0.775
BHR,2005,1.021,47268.2721612188,2.58620689655173,,0.791
BHR,2010,1.13,49254.5770084238,1.96188468334623,,0.81
BHR,2015,1.164,48034.2468880503,1.84862742374977,,0.868
